rank,incomePerSec,Common,Rare,Legendary,RatioCommon,RatioRare,RatioLegendary
1,1,3,7,10,0.333333333,0.142857143,0.1
2,2,6,16,21,0.333333333,0.125,0.095238095
3,3,11,25,34,0.272727273,0.12,0.088235294
4,4,17,36,49,0.235294118,0.111111111,0.081632653
5,5,24,48,65,0.208333333,0.104166667,0.076923077
6,6,32,61,82,0.1875,0.098360656,0.073170732
7,7,43,75,101,0.162790698,0.093333333,0.069306931
8,8,54,90,122,0.148148148,0.088888889,0.06557377
9,9,68,106,144,0.132352941,0.08490566,0.0625
10,10,140,207,280,0.071428571,0.048309179,0.035714286
11,12,243,340,462,0.049382716,0.035294118,0.025974026
12,14,361,505,686,0.038781163,0.027722772,0.020408163
13,16,501,701,952,0.031936128,0.022824536,0.016806723
14,18,663,928,1260,0.027149321,0.019396552,0.014285714
15,20,847,1186,1610,0.023612751,0.016863406,0.01242236
16,22,1054,1476,2003,0.020872865,0.014905149,0.010983525
17,24,1283,1797,2438,0.018706157,0.013355593,0.009844135
18,26,1535,2149,2917,0.016938111,0.012098651,0.008913267
19,28,1810,2533,3438,0.015469613,0.011054086,0.00814427
20,30,2134,2987,4053,0.014058107,0.010043522,0.007401925
21,33,2562,3586,4866,0.012880562,0.009202454,0.006781751
22,36,3030,4240,5755,0.011881188,0.008490566,0.00625543
23,39,3538,4951,6719,0.011023177,0.007877197,0.005804435
24,42,4086,5718,7760,0.010279001,0.007345226,0.005412371
25,45,4675,6542,8878,0.009625668,0.00687863,0.005068709
26,48,5305,7422,10073,0.009048068,0.006467259,0.004765214
27,51,5977,8361,11347,0.008532709,0.006099749,0.00449458
28,54,6690,9357,12699,0.008071749,0.00577108,0.004252303
29,57,7445,10412,14131,0.007656145,0.005474453,0.004033685
30,60,8972,12546,17027,0.006687472,0.004782401,0.003523815
31,64,10718,14985,20337,0.005971263,0.004270938,0.003146973
32,68,12539,17529,23789,0.00542308,0.003879286,0.002858464
33,72,14425,20162,27362,0.004991334,0.003571074,0.002631387
34,76,16365,22867,31034,0.004644057,0.003323567,0.002448927
35,80,18346,25630,34783,0.004360624,0.003121342,0.002299974
36,84,20357,28432,38586,0.004126345,0.002954418,0.002176955
37,88,22386,31258,42421,0.003931028,0.002815279,0.002074444
38,92,24421,34089,46264,0.003767249,0.002698818,0.001988587
39,96,26450,36910,50092,0.00362949,0.002600921,0.001916474
40,100,28460,39702,53882,0.003513703,0.002518765,0.001855907
41,105,30731,42856,58161,0.003416745,0.002450065,0.001805333
42,110,32971,45963,62378,0.003336265,0.002393229,0.001763442
43,115,35164,49000,66500,0.00327039,0.002346939,0.001729323
44,120,37291,51943,70495,0.003217935,0.002310225,0.001702248
45,125,41876,58304,79127,0.002985003,0.002143935,0.001579739
46,130,46399,64571,87631,0.002801785,0.002013288,0.001483493
47,135,50823,70689,95935,0.002656278,0.001909774,0.001407203
48,140,55107,76604,103963,0.002540512,0.001827581,0.001346633
49,145,59210,82257,111634,0.002448911,0.001762768,0.001298887
50,150,66407,92194,125120,0.002258798,0.001627004,0.001198849
51,156,74576,103463,140413,0.002091826,0.001507785,0.001111008
52,162,83340,115535,156797,0.001943844,0.001402173,0.001033183
53,168,92730,128451,174326,0.001811711,0.001307892,0.000963712
54,174,102780,142256,193061,0.001692936,0.001223147,0.00090127
55,180,113527,156995,213065,0.001585526,0.001146533,0.000844813
56,186,125011,172720,234406,0.001487869,0.001076887,0.000793495
57,192,137272,189483,257155,0.001398683,0.001013284,0.000746631
58,198,150356,207340,281390,0.001316875,0.000954953,0.00070365
59,204,164309,226353,307193,0.001241563,0.000901247,0.000664078
60,210,179181,246583,334648,0.001171999,0.00085164,0.000627525
61,217,195929,269340,365533,0.001107544,0.000805673,0.000593654
62,224,213810,293593,398448,0.001047659,0.000762961,0.000562181
63,231,232889,319426,433506,0.000991889,0.000723172,0.000532865
64,238,253236,346925,470827,0.000939835,0.000686027,0.000505494
65,245,274926,376185,510537,0.000891149,0.000651275,0.000479887
66,252,298037,407304,552770,0.000845533,0.000618702,0.000455886
67,259,322652,440386,597667,0.000802722,0.00058812,0.000433352
68,266,348859,475541,645377,0.000762486,0.000559363,0.000412162
69,273,376751,512884,696056,0.000724617,0.000532284,0.00039221
70,280,406426,552537,749872,0.000688932,0.000506753,0.000373397
71,288,439513,596701,809809,0.000655271,0.000482654,0.000355639
72,296,474752,643645,873518,0.000623483,0.000459881,0.00033886
73,304,512268,693524,941211,0.000593439,0.000438341,0.000322988
74,312,552194,746501,1013109,0.000565019,0.00041795,0.000307963
75,320,594668,802750,1089446,0.000538115,0.00039863,0.000293727
76,328,639840,862450,1170469,0.000512628,0.000380312,0.00028023
77,336,687863,925794,1256435,0.000488469,0.000362932,0.000267423
78,344,738902,992981,1347617,0.000465556,0.000346432,0.000255265
79,352,793130,1064222,1444301,0.000443811,0.000330758,0.000243717
80,360,850727,1139738,1546788,0.000423167,0.000315862,0.00023274
81,369,914363,1223078,1659891,0.00040356,0.000301698,0.000222304
82,378,982001,1311479,1779865,0.000384928,0.000288224,0.000212376
83,387,1053868,1405219,1907083,0.000367219,0.000275402,0.000202928
84,396,1130203,1504588,2041941,0.00035038,0.000263195,0.000193933
85,405,1211259,1609889,2184850,0.000334363,0.00025157,0.000185367
86,414,1297300,1721443,2336245,0.000319124,0.000240496,0.000177207
87,423,1388604,1839584,2496579,0.000304622,0.000229943,0.000169432
